patch_path,source_image,split,class_id,class_name,source_type,bbox,crop_coordinates,source_index
results/fast_repro/exp06_roi/patches/train/corrosion/6__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/6.png,train,6,corrosion,gt_positive,"[522.8967895507812, 343.3650817871094, 711.0079345703125, 381.3650817871094]","[504, 340, 720, 385]",2
results/fast_repro/exp06_roi/patches/train/corrosion/7__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/7.png,train,6,corrosion,gt_positive,"[309.0, 161.0, 344.0, 193.0]","[306, 158, 348, 196]",0
results/fast_repro/exp06_roi/patches/train/corrosion/7__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/7.png,train,6,corrosion,gt_positive,"[392.0, 152.0, 435.0, 191.0]","[388, 148, 439, 195]",1
results/fast_repro/exp06_roi/patches/train/corrosion/7__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/7.png,train,6,corrosion,gt_positive,"[483.9999694824219, 253.0, 530.0, 286.0]","[479, 250, 535, 289]",2
results/fast_repro/exp06_roi/patches/train/corrosion/7__gt3.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/7.png,train,6,corrosion,gt_positive,"[300.0, 316.0, 329.0, 330.0]","[297, 315, 332, 331]",3
results/fast_repro/exp06_roi/patches/train/corrosion/7__gt4.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/7.png,train,6,corrosion,gt_positive,"[200.00001525878906, 312.0, 228.0, 330.0]","[197, 310, 231, 332]",4
results/fast_repro/exp06_roi/patches/train/corrosion/7__gt5.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/7.png,train,6,corrosion,gt_positive,"[395.0, 319.0, 424.0, 334.0]","[392, 318, 427, 336]",5
results/fast_repro/exp06_roi/patches/train/corrosion/7__gt6.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/7.png,train,6,corrosion,gt_positive,"[353.0, 341.0, 377.9999694824219, 352.0]","[351, 340, 380, 353]",6
results/fast_repro/exp06_roi/patches/train/corrosion/7__gt7.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/7.png,train,6,corrosion,gt_positive,"[393.0, 370.0, 409.0, 378.0]","[391, 369, 411, 379]",7
results/fast_repro/exp06_roi/patches/train/corrosion/7__gt8.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/7.png,train,6,corrosion,gt_positive,"[431.0, 353.0, 445.0000305175781, 361.0]","[430, 352, 446, 362]",8
results/fast_repro/exp06_roi/patches/train/corrosion/7__gt9.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/7.png,train,6,corrosion,gt_positive,"[7.000000476837158, 168.0, 31.0, 197.0]","[5, 165, 33, 200]",9
results/fast_repro/exp06_roi/patches/train/corrosion/7__gt10.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/7.png,train,6,corrosion,gt_positive,"[182.0, 316.0, 206.0, 336.0]","[180, 314, 208, 338]",10
results/fast_repro/exp06_roi/patches/train/corrosion/8__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/8.png,train,6,corrosion,gt_positive,"[328.0, 140.0, 366.0, 180.0]","[324, 136, 370, 184]",0
results/fast_repro/exp06_roi/patches/train/corrosion/9__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/9.png,train,6,corrosion,gt_positive,"[233.0, 174.99998474121094, 307.0, 228.0]","[226, 170, 314, 233]",0
results/fast_repro/exp06_roi/patches/train/corrosion/9__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/9.png,train,6,corrosion,gt_positive,"[136.0, 164.0, 220.0, 299.0]","[128, 150, 228, 312]",1
results/fast_repro/exp06_roi/patches/train/corrosion/9__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/9.png,train,6,corrosion,gt_positive,"[278.0, 130.0, 660.0, 374.0]","[240, 106, 698, 398]",2
results/fast_repro/exp06_roi/patches/train/corrosion/9__gt3.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/9.png,train,6,corrosion,gt_positive,"[670.0, 357.0, 714.0, 425.0]","[666, 350, 718, 432]",3
results/fast_repro/exp06_roi/patches/train/corrosion/9__gt4.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/9.png,train,6,corrosion,gt_positive,"[662.0, 444.0, 699.0, 488.0]","[658, 440, 703, 492]",4
results/fast_repro/exp06_roi/patches/train/corrosion/9__gt5.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/9.png,train,6,corrosion,gt_positive,"[603.0, 149.0, 653.0, 192.0]","[598, 145, 658, 196]",5
results/fast_repro/exp06_roi/patches/train/corrosion/9__gt6.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/9.png,train,6,corrosion,gt_positive,"[72.0079345703125, 111.36507415771484, 258.0079345703125, 263.3650817871094]","[53, 96, 277, 279]",6
results/fast_repro/exp06_roi/patches/train/corrosion/9__gt7.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/9.png,train,6,corrosion,gt_positive,"[324.0079345703125, 55.36507797241211, 561.0079345703125, 138.36508178710938]","[300, 47, 585, 147]",7
results/fast_repro/exp06_roi/patches/train/corrosion/9__gt8.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/9.png,train,6,corrosion,gt_positive,"[282.0079345703125, 78.36508178710938, 392.0079345703125, 126.36507415771484]","[271, 74, 403, 131]",8
results/fast_repro/exp06_roi/patches/train/corrosion/12__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/12.png,train,6,corrosion,gt_positive,"[67.0079345703125, 267.3650817871094, 453.0079345703125, 395.36505126953125]","[28, 255, 492, 408]",0
results/fast_repro/exp06_roi/patches/train/corrosion/12__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/12.png,train,6,corrosion,gt_positive,"[195.0, 209.0, 232.0, 235.0]","[191, 206, 236, 238]",1
results/fast_repro/exp06_roi/patches/train/corrosion/12__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/12.png,train,6,corrosion,gt_positive,"[243.0, 202.0, 273.0, 223.99998474121094]","[240, 200, 276, 226]",2
results/fast_repro/exp06_roi/patches/train/corrosion/12__gt3.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/12.png,train,6,corrosion,gt_positive,"[216.00791931152344, 172.36508178710938, 419.0079650878906, 210.36508178710938]","[196, 169, 439, 214]",3
results/fast_repro/exp06_roi/patches/train/corrosion/12__gt4.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/12.png,train,6,corrosion,gt_positive,"[434.05584716796875, 329.3645935058594, 561.0558471679688, 387.3645935058594]","[421, 324, 574, 393]",4
results/fast_repro/exp06_roi/patches/train/corrosion/13__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/13.png,train,6,corrosion,gt_positive,"[466.0, 198.0, 511.0, 211.0]","[462, 197, 516, 212]",0
results/fast_repro/exp06_roi/patches/train/corrosion/13__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/13.png,train,6,corrosion,gt_positive,"[557.0, 225.0, 584.0, 238.0]","[554, 224, 587, 239]",1
results/fast_repro/exp06_roi/patches/train/corrosion/13__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/13.png,train,6,corrosion,gt_positive,"[597.0079345703125, 434.3650817871094, 676.0079345703125, 539.9990234375]","[589, 424, 684, 540]",2
results/fast_repro/exp06_roi/patches/train/Burn/14__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/14.png,train,0,Burn,gt_positive,"[157.0079345703125, 5.365079402923584, 406.0079650878906, 393.3650817871094]","[132, 0, 431, 432]",0
results/fast_repro/exp06_roi/patches/train/Burn/14__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/14.png,train,0,Burn,gt_positive,"[471.0079345703125, 328.73016357421875, 584.0079345703125, 445.3650817871094]","[460, 317, 595, 457]",1
results/fast_repro/exp06_roi/patches/train/corrosion/14__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/14.png,train,6,corrosion,gt_positive,"[285.0079345703125, 5.365079402923584, 445.0079040527344, 280.3650817871094]","[269, 0, 461, 308]",2
results/fast_repro/exp06_roi/patches/train/corrosion/14__gt3.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/14.png,train,6,corrosion,gt_positive,"[588.0079345703125, 457.69842529296875, 646.0079345703125, 534.3650512695312]","[582, 450, 652, 540]",3
results/fast_repro/exp06_roi/patches/train/Material missing/15__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/15.png,train,3,Material missing,gt_positive,"[408.84259033203125, 244.1666717529297, 547.25, 410.16668701171875]","[395, 228, 561, 427]",0
results/fast_repro/exp06_roi/patches/train/Crack/17__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/17.png,train,1,Crack,gt_positive,"[158.0079345703125, 362.3650817871094, 238.0079345703125, 463.3650817871094]","[150, 352, 246, 473]",0
results/fast_repro/exp06_roi/patches/train/corrosion/17__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/17.png,train,6,corrosion,gt_positive,"[435.0079650878906, 79.36508178710938, 718.0079345703125, 442.3650817871094]","[407, 43, 720, 479]",1
results/fast_repro/exp06_roi/patches/train/Material missing/18__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/18.png,train,3,Material missing,gt_positive,"[503.0079040527344, 366.4285583496094, 509.0079650878906, 386.3650817871094]","[502, 364, 510, 388]",0
results/fast_repro/exp06_roi/patches/train/Dent/18__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/18.png,train,2,Dent,gt_positive,"[227.00794982910156, 374.3650817871094, 255.0079345703125, 386.3650817871094]","[224, 373, 258, 388]",1
results/fast_repro/exp06_roi/patches/train/Material missing/18__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/18.png,train,3,Material missing,gt_positive,"[480.0396728515625, 29.920635223388672, 493.0079650878906, 45.365081787109375]","[479, 28, 494, 47]",2
results/fast_repro/exp06_roi/patches/train/Dent/18__gt3.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/18.png,train,2,Dent,gt_positive,"[489.9603271484375, 131.11111450195312, 498.0079345703125, 153.36508178710938]","[489, 129, 499, 156]",3
results/fast_repro/exp06_roi/patches/train/Burn/20__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/20.png,train,0,Burn,gt_positive,"[254.0, 6.0, 483.0, 310.0]","[231, 0, 506, 340]",0
results/fast_repro/exp06_roi/patches/train/Burn/20__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/20.png,train,0,Burn,gt_positive,"[272.0079345703125, 289.3650817871094, 498.0079345703125, 537.3651123046875]","[249, 265, 521, 540]",1
results/fast_repro/exp06_roi/patches/train/Burn/20__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/20.png,train,0,Burn,gt_positive,"[550.0079345703125, 9.365078926086426, 719.0079345703125, 486.3650817871094]","[533, 0, 720, 534]",2
results/fast_repro/exp06_roi/patches/train/corrosion/20__gt3.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/20.png,train,6,corrosion,gt_positive,"[4.007936477661133, 42.619049072265625, 101.0079345703125, 192.36508178710938]","[0, 28, 111, 207]",3
results/fast_repro/exp06_roi/patches/train/corrosion/20__gt4.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/20.png,train,6,corrosion,gt_positive,"[2.007936477661133, 285.36505126953125, 210.0079345703125, 386.3650817871094]","[0, 275, 231, 396]",4
results/fast_repro/exp06_roi/patches/train/corrosion/20__gt5.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/20.png,train,6,corrosion,gt_positive,"[100.0079345703125, 428.3650817871094, 285.0079345703125, 514.3651123046875]","[82, 420, 304, 523]",5
results/fast_repro/exp06_roi/patches/train/Dent/21__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/21.png,train,2,Dent,gt_positive,"[504.0079345703125, 342.6190490722656, 520.0079345703125, 402.3650817871094]","[502, 337, 522, 408]",0
results/fast_repro/exp06_roi/patches/train/corrosion/21__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/21.png,train,6,corrosion,gt_positive,"[637.0, 382.0, 696.0, 423.0]","[631, 378, 702, 427]",1
results/fast_repro/exp06_roi/patches/train/corrosion/23__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/23.png,train,6,corrosion,gt_positive,"[0.0, 130.0, 432.0, 285.0]","[0, 114, 475, 300]",0
results/fast_repro/exp06_roi/patches/train/corrosion/23__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/23.png,train,6,corrosion,gt_positive,"[154.37322998046875, 37.859153747558594, 453.37322998046875, 169.85916137695312]","[124, 25, 483, 183]",1
results/fast_repro/exp06_roi/patches/train/Burn/24__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/24.png,train,0,Burn,gt_positive,"[292.0079345703125, 3.365079402923584, 562.0079345703125, 396.3650817871094]","[265, 0, 589, 436]",0
results/fast_repro/exp06_roi/patches/train/corrosion/24__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/24.png,train,6,corrosion,gt_positive,"[489.5634765625, 2.365079402923584, 719.9990234375, 210.36508178710938]","[467, 0, 720, 231]",1
results/fast_repro/exp06_roi/patches/train/corrosion/24__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/24.png,train,6,corrosion,gt_positive,"[591.9444580078125, 189.3650665283203, 719.9990234375, 488.3650817871094]","[579, 159, 720, 518]",2
results/fast_repro/exp06_roi/patches/train/corrosion/24__gt3.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/24.png,train,6,corrosion,gt_positive,"[403.0079650878906, 386.3650817871094, 573.0079345703125, 537.3651123046875]","[386, 371, 590, 540]",3
results/fast_repro/exp06_roi/patches/train/Burn/24__gt4.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/24.png,train,0,Burn,gt_positive,"[0.0, 0.0, 241.0079345703125, 539.3651123046875]","[0, 0, 265, 540]",4
results/fast_repro/exp06_roi/patches/train/corrosion/24__gt5.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/24.png,train,6,corrosion,gt_positive,"[63.007938385009766, 457.3650817871094, 101.0079345703125, 488.3650817871094]","[59, 454, 105, 491]",5
results/fast_repro/exp06_roi/patches/train/Burn/26__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,0,Burn,gt_positive,"[30.0, 192.0, 186.0, 320.0]","[14, 179, 202, 333]",0
results/fast_repro/exp06_roi/patches/train/Burn/26__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,0,Burn,gt_positive,"[200.00001525878906, 283.0, 256.0, 402.0]","[194, 271, 262, 414]",1
results/fast_repro/exp06_roi/patches/train/Burn/26__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,0,Burn,gt_positive,"[109.0, 23.0, 236.0, 168.0]","[96, 8, 249, 182]",2
results/fast_repro/exp06_roi/patches/train/Burn/26__gt3.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,0,Burn,gt_positive,"[204.99998474121094, 47.0, 286.0, 172.0]","[197, 34, 294, 184]",3
results/fast_repro/exp06_roi/patches/train/Burn/26__gt4.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,0,Burn,gt_positive,"[5.999999523162842, 455.0, 84.0, 538.0]","[0, 447, 92, 540]",4
results/fast_repro/exp06_roi/patches/train/Burn/26__gt5.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,0,Burn,gt_positive,"[459.0, 342.0, 573.0, 538.0]","[448, 322, 584, 540]",5
results/fast_repro/exp06_roi/patches/train/corrosion/26__gt6.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,6,corrosion,gt_positive,"[594.0, 3.0, 719.0, 305.0]","[582, 0, 720, 335]",6
results/fast_repro/exp06_roi/patches/train/corrosion/26__gt7.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,6,corrosion,gt_positive,"[674.0079345703125, 229.92063903808594, 717.0079345703125, 297.36505126953125]","[670, 223, 720, 304]",7
results/fast_repro/exp06_roi/patches/train/corrosion/26__gt8.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,6,corrosion,gt_positive,"[624.0079345703125, 307.3650817871094, 713.0079345703125, 416.3650817871094]","[615, 296, 720, 427]",8
results/fast_repro/exp06_roi/patches/train/Burn/26__gt9.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,0,Burn,gt_positive,"[452.0079345703125, 5.365079402923584, 593.0079345703125, 415.3650817871094]","[438, 0, 607, 456]",9
results/fast_repro/exp06_roi/patches/train/Burn/26__gt10.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,0,Burn,gt_positive,"[294.0079345703125, 339.3650817871094, 435.0079650878906, 537.3651123046875]","[280, 320, 449, 540]",10
results/fast_repro/exp06_roi/patches/train/corrosion/26__gt11.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,6,corrosion,gt_positive,"[4.007936477661133, 356.9047546386719, 126.0079345703125, 505.36505126953125]","[0, 342, 138, 520]",11
results/fast_repro/exp06_roi/patches/train/corrosion/26__gt12.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,train,6,corrosion,gt_positive,"[148.2936553955078, 173.36508178710938, 302.0079345703125, 293.3650817871094]","[133, 161, 317, 305]",12
results/fast_repro/exp06_roi/patches/train/corrosion/27__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/27.png,train,6,corrosion,gt_positive,"[326.0, 374.0, 356.0, 427.0]","[323, 369, 359, 432]",0
results/fast_repro/exp06_roi/patches/train/corrosion/27__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/27.png,train,6,corrosion,gt_positive,"[456.0, 254.0, 692.0, 364.0]","[432, 243, 716, 375]",1
results/fast_repro/exp06_roi/patches/train/corrosion/27__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/27.png,train,6,corrosion,gt_positive,"[278.0, 325.0000305175781, 287.0, 340.0]","[277, 324, 288, 341]",2
results/fast_repro/exp06_roi/patches/train/Dent/28__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/28.png,train,2,Dent,gt_positive,"[552.0, 25.0, 576.0, 53.0]","[550, 22, 578, 56]",0
results/fast_repro/exp06_roi/patches/train/corrosion/29__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/29.png,train,6,corrosion,gt_positive,"[91.0, 317.0, 170.0, 371.0]","[83, 312, 178, 376]",0
results/fast_repro/exp06_roi/patches/train/corrosion/29__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/29.png,train,6,corrosion,gt_positive,"[13.000000953674316, 487.0, 80.0, 519.0]","[6, 484, 87, 522]",1
results/fast_repro/exp06_roi/patches/train/corrosion/29__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/29.png,train,6,corrosion,gt_positive,"[18.0, 383.0, 52.000003814697266, 413.0]","[15, 380, 55, 416]",2
results/fast_repro/exp06_roi/patches/train/corrosion/29__gt3.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/29.png,train,6,corrosion,gt_positive,"[221.30950927734375, 145.39682006835938, 251.00794982910156, 193.36508178710938]","[218, 141, 254, 198]",3
results/fast_repro/exp06_roi/patches/train/corrosion/29__gt4.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/29.png,train,6,corrosion,gt_positive,"[592.0079345703125, 396.9841003417969, 667.0079345703125, 427.3650817871094]","[585, 394, 675, 430]",4
results/fast_repro/exp06_roi/patches/train/Burn/31__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/31.png,train,0,Burn,gt_positive,"[271.0079345703125, 95.36508178710938, 704.0079345703125, 418.3650817871094]","[228, 63, 720, 451]",0
results/fast_repro/exp06_roi/patches/train/corrosion/31__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/31.png,train,6,corrosion,gt_positive,"[132.0238037109375, 46.36507797241211, 271.0079345703125, 201.3650665283203]","[118, 31, 285, 217]",1
results/fast_repro/exp06_roi/patches/train/Burn/31__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/31.png,train,0,Burn,gt_positive,"[62.976192474365234, 170.39682006835938, 351.0079345703125, 535.3650512695312]","[34, 134, 380, 540]",2
results/fast_repro/exp06_roi/patches/train/Burn/31__gt3.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/31.png,train,0,Burn,gt_positive,"[318.0079345703125, 0.3650793731212616, 656.0079345703125, 266.3650817871094]","[284, 0, 690, 293]",3
results/fast_repro/exp06_roi/patches/train/Material missing/31__gt4.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/31.png,train,3,Material missing,gt_positive,"[23.69047737121582, 376.3492126464844, 138.0079345703125, 538.3651123046875]","[12, 360, 149, 540]",4
results/fast_repro/exp06_roi/patches/train/Crack/31__gt5.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/31.png,train,1,Crack,gt_positive,"[51.007938385009766, 211.36508178710938, 84.0079345703125, 264.3650817871094]","[48, 206, 87, 270]",5
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[71.0079345703125, 0.3650793731212616, 715.0079345703125, 238.3650665283203]","[7, 0, 720, 262]",0
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[591.0, 373.0, 630.0, 406.0]","[587, 370, 634, 409]",1
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[560.0, 371.0, 590.0, 393.0]","[557, 369, 593, 395]",2
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt3.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[662.0, 393.0, 681.0, 415.0]","[660, 391, 683, 417]",3
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt4.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[518.0, 386.0, 545.0, 404.0]","[515, 384, 548, 406]",4
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt5.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[451.0, 376.0, 473.0, 392.0]","[449, 374, 475, 394]",5
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt6.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[370.0, 297.0, 406.0, 325.0000305175781]","[366, 294, 410, 328]",6
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt7.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[367.0, 283.0, 384.0000305175781, 297.0]","[365, 282, 386, 298]",7
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt8.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[333.0, 182.0, 360.0, 206.0]","[330, 180, 363, 208]",8
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt9.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[295.0, 277.0, 316.0, 292.0]","[293, 276, 318, 294]",9
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt10.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[295.0, 343.0, 346.0, 374.0]","[290, 340, 351, 377]",10
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt11.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[338.0, 358.0, 405.0, 384.0]","[331, 355, 412, 387]",11
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt12.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[315.0, 380.0, 333.0, 393.0]","[313, 379, 335, 394]",12
results/fast_repro/exp06_roi/patches/train/corrosion/33__gt13.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,train,6,corrosion,gt_positive,"[190.0, 324.0, 256.0, 356.0]","[183, 321, 263, 359]",13
