dataset_index,image_stem,is_hard,image_path,label_path,image_decode_ok,image_finite,label_parse_ok,polygon_finite,coordinate_range_ok,class_id_ok,instance_count,degenerate_polygon_count,degenerate_bbox_count,relative_polygon_area_sum,valid_image,valid_target
19,114,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/114.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/114.txt,True,True,True,True,True,True,1,0,0,0.02141094155275569,True,True
20,115,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/115.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/115.txt,True,True,True,True,True,True,2,0,0,0.1833882166243601,True,True
21,117,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/117.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/117.txt,True,True,True,True,True,True,2,0,0,0.10459104940693742,True,True
22,119,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/119.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/119.txt,True,True,True,True,True,True,2,0,0,0.047637721950261724,True,True
23,12,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/12.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/12.txt,True,True,True,True,True,True,5,0,0,0.08635222384809449,True,True
24,120,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/120.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/120.txt,True,True,True,True,True,True,1,0,0,0.21665252060282691,True,True
25,123,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/123.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/123.txt,True,True,True,True,True,True,2,0,0,0.043463220153167725,True,True
26,124,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/124.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/124.txt,True,True,True,True,True,True,3,0,0,0.09568918133020765,True,True
27,129,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/129.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/129.txt,True,True,True,True,True,True,3,0,0,0.07788384963988981,True,True
28,13,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/13.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/13.txt,True,True,True,True,True,True,3,0,0,0.015542802187012317,True,True
29,131,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/131.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/131.txt,True,True,True,True,True,True,1,0,0,0.011808127573909921,True,True
30,132,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/132.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/132.txt,True,True,True,True,True,True,1,0,0,0.0077025462941504586,True,True
31,133,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/133.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/133.txt,True,True,True,True,True,True,3,0,0,0.14695237114464121,True,True
32,135,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/135.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/135.txt,True,True,True,True,True,True,2,0,0,0.005390374946602883,True,True
33,136,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/136.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/136.txt,True,True,True,True,True,True,2,0,0,0.04104359568014715,True,True
34,137,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/137.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/137.txt,True,True,True,True,True,True,1,0,0,0.0014570473258928018,True,True
35,139,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/139.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/139.txt,True,True,True,True,True,True,1,0,0,0.010447340341129152,True,True
36,14,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/14.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/14.txt,True,True,True,True,True,True,4,0,0,0.19357197969931272,True,True
37,141,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/141.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/141.txt,True,True,True,True,True,True,2,0,0,0.06595650435324951,True,True
38,143,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/143.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/143.txt,True,True,True,True,True,True,2,0,0,0.07616221802488399,True,True
39,144,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/144.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/144.txt,True,True,True,True,True,True,1,0,0,0.15416152262977345,True,True
40,146,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/146.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/146.txt,True,True,True,True,True,True,1,0,0,0.05755148722266501,True,True
41,147,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/147.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/147.txt,True,True,True,True,True,True,5,0,0,0.08690052692971456,True,True
42,148,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/148.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/148.txt,True,True,True,True,True,True,1,0,0,0.0014632161457428516,True,True
43,149,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/149.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/149.txt,True,True,True,True,True,True,1,0,0,0.001229067991737054,True,True
44,15,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/15.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/15.txt,True,True,True,True,True,True,1,0,0,0.016117588780272918,True,True
45,151,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/151.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/151.txt,True,True,True,True,True,True,4,0,0,0.04356358238440472,True,True
46,153,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/153.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/153.txt,True,True,True,True,True,True,2,0,0,0.06358817730645716,True,True
47,154,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/154.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/154.txt,True,True,True,True,True,True,1,0,0,0.018194444444515234,True,True
48,155,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/155.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/155.txt,True,True,True,True,True,True,9,0,0,0.015164609047034316,True,True
49,156,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/156.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/156.txt,True,True,True,True,True,True,1,0,0,0.005608305708463934,True,True
50,157,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/157.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/157.txt,True,True,True,True,True,True,2,0,0,0.012405598962498487,True,True
51,165,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/165.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/165.txt,True,True,True,True,True,True,5,0,0,0.29844130501476585,True,True
52,166,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/166.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/166.txt,True,True,True,True,True,True,1,0,0,0.0021891276044531116,True,True
53,167,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/167.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/167.txt,True,True,True,True,True,True,1,0,0,0.0029758468609255573,True,True
54,168,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/168.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/168.txt,True,True,True,True,True,True,1,0,0,0.10620884773971717,True,True
55,169,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/169.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/169.txt,True,True,True,True,True,True,12,0,0,0.4311726966301319,True,True
56,17,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/17.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/17.txt,True,True,True,True,True,True,2,0,0,0.1316175329866469,True,True
57,170,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/170.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/170.txt,True,True,True,True,True,True,3,0,0,0.14575783988678825,True,True
58,171,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/171.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/171.txt,True,True,True,True,True,True,5,0,0,0.007865226340027842,True,True
59,173,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/173.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/173.txt,True,True,True,True,True,True,6,0,0,0.12600096686291762,True,True
60,175,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/175.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/175.txt,True,True,True,True,True,True,2,0,0,0.028252267185117308,True,True
61,176,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/176.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/176.txt,True,True,True,True,True,True,2,0,0,0.010714782426240133,True,True
62,177,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/177.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/177.txt,True,True,True,True,True,True,2,0,0,0.08612952007615537,True,True
63,179,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/179.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/179.txt,True,True,True,True,True,True,1,0,0,0.0635807224728131,True,True
64,18,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/18.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/18.txt,True,True,True,True,True,True,4,0,0,0.0013431233251308128,True,True
65,180,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/180.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/180.txt,True,True,True,True,True,True,3,0,0,0.02070702326639995,True,True
66,182,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/182.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/182.txt,True,True,True,True,True,True,1,0,0,0.0013068701415575035,True,True
67,184,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/184.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/184.txt,True,True,True,True,True,True,1,0,0,0.005738932293827936,True,True
68,185,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/185.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/185.txt,True,True,True,True,True,True,6,0,0,0.1648393204315287,True,True
69,188,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/188.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/188.txt,True,True,True,True,True,True,3,0,0,0.25754115224577157,True,True
70,189,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/189.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/189.txt,True,True,True,True,True,True,1,0,0,0.012016413269543502,True,True
71,190,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/190.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/190.txt,True,True,True,True,True,True,2,0,0,0.00758086464145169,True,True
72,191,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/191.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/191.txt,True,True,True,True,True,True,2,0,0,0.005099022633570094,True,True
73,192,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/192.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/192.txt,True,True,True,True,True,True,1,0,0,0.046303131190753355,True,True
74,193,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/193.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/193.txt,True,True,True,True,True,True,2,0,0,0.12532688052376706,True,True
75,195,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/195.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/195.txt,True,True,True,True,True,True,1,0,0,0.01239840534988157,True,True
76,196,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/196.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/196.txt,True,True,True,True,True,True,4,0,0,0.015847693758848758,True,True
77,197,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/197.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/197.txt,True,True,True,True,True,True,4,0,0,0.3147453703836805,True,True
78,198,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/198.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/198.txt,True,True,True,True,True,True,5,0,0,0.1679306936808079,True,True
79,199,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/199.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/199.txt,True,True,True,True,True,True,3,0,0,0.014555041150051434,True,True
80,2,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/2.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/2.txt,True,True,True,True,True,True,1,0,0,0.007555338540156276,True,True
81,20,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/20.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/20.txt,True,True,True,True,True,True,6,0,0,0.3435826351882757,True,True
82,202,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/202.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/202.txt,True,True,True,True,True,True,1,0,0,0.0006673668278374123,True,True
83,205,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/205.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/205.txt,True,True,True,True,True,True,3,0,0,0.010502105838906262,True,True
84,206,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/206.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/206.txt,True,True,True,True,True,True,13,0,0,0.033680555552732194,True,True
85,207,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/207.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/207.txt,True,True,True,True,True,True,4,0,0,0.15494727366318622,True,True
86,208,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/208.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/208.txt,True,True,True,True,True,True,1,0,0,0.008544238687219652,True,True
87,209,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/209.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/209.txt,True,True,True,True,True,True,2,0,0,0.017172353688942543,True,True
88,21,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/21.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/21.txt,True,True,True,True,True,True,2,0,0,0.0036159897802163776,True,True
89,210,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/210.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/210.txt,True,True,True,True,True,True,11,0,0,0.17485210906541349,True,True
90,213,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/213.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/213.txt,True,True,True,True,True,True,1,0,0,0.005310872395312499,True,True
91,215,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/215.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/215.txt,True,True,True,True,True,True,3,0,0,0.23082047324515104,True,True
92,216,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/216.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/216.txt,True,True,True,True,True,True,1,0,0,0.0072998113859013,True,True
93,217,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/217.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/217.txt,True,True,True,True,True,True,1,0,0,0.005280349794210659,True,True
94,219,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/219.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/219.txt,True,True,True,True,True,True,3,0,0,0.03257137260434877,True,True
95,220,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/220.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/220.txt,True,True,True,True,True,True,1,0,0,0.0010341924284844595,True,True
96,221,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/221.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/221.txt,True,True,True,True,True,True,2,0,0,0.04108235678851502,True,True
97,222,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/222.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/222.txt,True,True,True,True,True,True,3,0,0,0.07601601220072862,True,True
98,223,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/223.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/223.txt,True,True,True,True,True,True,1,0,0,0.004979423870784538,True,True
99,224,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/224.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/224.txt,True,True,True,True,True,True,1,0,0,0.027226562499062634,True,True
100,225,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/225.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/225.txt,True,True,True,True,True,True,3,0,0,0.10418609759578468,True,True
101,227,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/227.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/227.txt,True,True,True,True,True,True,2,0,0,0.17881448815474932,True,True
102,228,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/228.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/228.txt,True,True,True,True,True,True,1,0,0,0.3110308407756812,True,True
103,23,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/23.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/23.txt,True,True,True,True,True,True,2,0,0,0.11623814830157975,True,True
104,233,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/233.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/233.txt,True,True,True,True,True,True,3,0,0,0.0852229206048159,True,True
105,234,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/234.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/234.txt,True,True,True,True,True,True,1,0,0,0.005341035918125958,True,True
106,235,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/235.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/235.txt,True,True,True,True,True,True,6,0,0,0.012352109062660599,True,True
107,236,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/236.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/236.txt,True,True,True,True,True,True,3,0,0,0.00436471193445348,True,True
108,237,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/237.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/237.txt,True,True,True,True,True,True,2,0,0,0.031340298631338026,True,True
109,238,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/238.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/238.txt,True,True,True,True,True,True,2,0,0,0.002477499764218849,True,True
110,239,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/239.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/239.txt,True,True,True,True,True,True,1,0,0,0.0009059192321139165,True,True
111,24,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/24.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/24.txt,True,True,True,True,True,True,6,0,0,0.4803631438455744,True,True
112,240,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/240.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/240.txt,True,True,True,True,True,True,1,0,0,0.22659357584993423,True,True
113,243,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/243.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/243.txt,True,True,True,True,True,True,1,0,0,0.005808899177442761,True,True
114,249,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/249.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/249.txt,True,True,True,True,True,True,2,0,0,0.09029324462822785,True,True
115,250,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/250.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/250.txt,True,True,True,True,True,True,1,0,0,0.0033436213991331343,True,True
116,252,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/252.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/252.txt,True,True,True,True,True,True,3,0,0,0.08687365768062016,True,True
117,253,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/253.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/253.txt,True,True,True,True,True,True,2,0,0,0.16982598040749552,True,True
118,254,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/254.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/254.txt,True,True,True,True,True,True,2,0,0,0.008698559671208805,True,True
119,255,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/255.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/255.txt,True,True,True,True,True,True,3,0,0,0.1598158098478707,True,True
120,257,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/257.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/257.txt,True,True,True,True,True,True,1,0,0,0.00864908854351576,True,True
121,258,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/258.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/258.txt,True,True,True,True,True,True,2,0,0,0.019038656716499514,True,True
122,259,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/259.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/259.txt,True,True,True,True,True,True,3,0,0,0.15931074651881483,True,True
123,26,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/26.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/26.txt,True,True,True,True,True,True,13,0,0,0.2787034076996156,True,True
124,260,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/260.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/260.txt,True,True,True,True,True,True,1,0,0,0.016309728972154325,True,True
125,261,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/261.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/261.txt,True,True,True,True,True,True,2,0,0,0.002493569957980446,True,True
126,263,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/263.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/263.txt,True,True,True,True,True,True,1,0,0,0.003730709874961491,True,True
127,264,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/264.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/264.txt,True,True,True,True,True,True,3,0,0,0.14169103511776346,True,True
128,265,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/265.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/265.txt,True,True,True,True,True,True,1,0,0,0.22458354922265222,True,True
129,266,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/266.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/266.txt,True,True,True,True,True,True,6,0,0,0.32506260501257755,True,True
